contig.name,length,accession,annotation,percent.identity,match.length,evalue,kingdom,virus,taxonomy.number,virus.name,taxonomy,taxonomy.pattern,P18,W3,W64,Y14,Y17,Y18,Y25,Y41,Y52,Y70,Y7
k141_484654,1269,YP_004009718.1,YP_004009718.1 clamp loader of DNA polymerase [Acinetobacter phage Acj61],65.3,251,5.59E-114,Viruses,Acinetobacter phage Acj61,760732,Acinetobacter phage Acj61,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lasallevirus|Acinetobacter virus Acj61|Acinetobacter phage Acj61,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,360,200,0,0,0,0,137,30,0,482,0
k141_487758,1524,YP_004009851.1,YP_004009851.1 holin [Acinetobacter phage Acj61],49.5,206,5.09E-55,Viruses,Acinetobacter phage Acj61,760732,Acinetobacter phage Acj61,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lasallevirus|Acinetobacter virus Acj61|Acinetobacter phage Acj61,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,556,0,288,0,54,0,80,10,0,672,0
k141_574583,3052,YP_004009746.1,YP_004009746.1 hypothetical protein Acj61p129 [Acinetobacter phage Acj61],72.2,335,3.02E-155,Viruses,Acinetobacter phage Acj61,760732,Acinetobacter phage Acj61,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lasallevirus|Acinetobacter virus Acj61|Acinetobacter phage Acj61,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,3738,614,896,0,222,0,392,110,0,1952,0
k141_584382,341,YP_004009621.1,YP_004009621.1 glutathionylspermidine synthase [Acinetobacter phage Acj61],57.3,110,1.85E-34,Viruses,Acinetobacter phage Acj61,760732,Acinetobacter phage Acj61,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lasallevirus|Acinetobacter virus Acj61|Acinetobacter phage Acj61,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,0,0,0,6,0,2,0,0,0,0,0
k141_219890,898,YP_004010378.1,YP_004010378.1 tail fiber protein proximal subunit [Acinetobacter phage Acj9],49.8,235,1.35E-67,Viruses,Acinetobacter phage Acj9,760939,Acinetobacter phage Acj9,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Acajnonavirus|Acajnonavirus acj9|Acinetobacter phage Acj9,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,252,0,273,0,0,0,0,0,0,308,0
k141_304854,1291,YP_004010226.1,YP_004010226.1 thymidylate synthase [Acinetobacter phage Acj9],66.5,233,3.49E-100,Viruses,Acinetobacter phage Acj9,760939,Acinetobacter phage Acj9,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Acajnonavirus|Acajnonavirus acj9|Acinetobacter phage Acj9,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,548,0,317,0,0,0,82,26,0,238,0
k141_375456,580,YP_004010378.1,YP_004010378.1 tail fiber protein proximal subunit [Acinetobacter phage Acj9],44.8,165,3.10E-28,Viruses,Acinetobacter phage Acj9,760939,Acinetobacter phage Acj9,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Acajnonavirus|Acajnonavirus acj9|Acinetobacter phage Acj9,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,68,0,0,0,0,0,0,18,0,100,0
k141_442689,775,QGT54027.1,QGT54027.1 DNA topoisomerase II large subunit [Acinetobacter phage Stupor],58.3,259,5.42E-104,Viruses,Acinetobacter phage Stupor,2666260,Acinetobacter phage Stupor,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lazarusvirus|unclassified Lazarusvirus|Acinetobacter phage Stupor,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|no rank|species,326,0,0,0,62,0,71,20,0,0,0
k141_164801,3344,QVW53943.1,QVW53943.1 hypothetical protein TaPaz_162 [Acinetobacter phage TaPaz],42.6,202,6.26E-41,Viruses,Acinetobacter phage TaPaz,2834266,Acinetobacter phage TaPaz,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|unclassified Caudoviricetes|Acinetobacter phage TaPaz,no rank|superkingdom|clade|kingdom|phylum|class|no rank|species,0,0,488,48,110,67,0,753,0,5848,0
k141_265694,2654,YP_009103615.1,YP_009103615.1 hypothetical protein vB_AbaM_Acibel004_75 [Acinetobacter phage vB_AbaM_Acibel004],34,191,1.74E-19,Viruses,Acinetobacter phage vB_AbaM_Acibel004,1481186,Acinetobacter phage vB_AbaM_Acibel004,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Saclayvirus|unclassified Saclayvirus|Acinetobacter phage vB_AbaM_Acibel004,no rank|superkingdom|clade|kingdom|phylum|class|genus|no rank|species,0,0,0,841,0,0,0,0,0,248,0
k141_65113,5854,AWD93196.1,AWD93196.1 thymidylate synthase [Acinetobacter phage vB_AbaM_B9],54.2,648,6.35E-213,Viruses,Acinetobacter phage vB_AbaM_B9,2163899,Acinetobacter phage vB_AbaM_B9,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|unclassified Caudoviricetes|Acinetobacter phage vB_AbaM_B9,no rank|superkingdom|clade|kingdom|phylum|class|no rank|species,0,0,12997,0,2471,0,2099,434,0,0,0
k141_15863,314,YP_009595940.1,YP_009595940.1 thymidylate synthase [Acinetobacter phage vB_AbaM_ME3],47.4,97,1.65E-21,Viruses,Acinetobacter phage vB_AbaM_ME3,1837876,Acinetobacter phage vB_AbaM_ME3,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Metrivirus|Metrivirus ME3|Acinetobacter phage vB_AbaM_ME3,no rank|superkingdom|clade|kingdom|phylum|class|genus|species|no rank,0,242,0,0,0,6,4,4,0,0,0
k141_251995,35968,YP_009595867.1,YP_009595867.1 virion structural protein [Acinetobacter phage vB_AbaM_ME3],31.1,1371,3.78E-192,Viruses,Acinetobacter phage vB_AbaM_ME3,1837876,Acinetobacter phage vB_AbaM_ME3,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Metrivirus|Metrivirus ME3|Acinetobacter phage vB_AbaM_ME3,no rank|superkingdom|clade|kingdom|phylum|class|genus|species|no rank,8,797,282,3027,0,1869,37633,0,1912,100423,3355
k141_379399,2462,YP_009595893.1,YP_009595893.1 DNA polymerase [Acinetobacter phage vB_AbaM_ME3],38,587,1.90E-103,Viruses,Acinetobacter phage vB_AbaM_ME3,1837876,Acinetobacter phage vB_AbaM_ME3,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Metrivirus|Metrivirus ME3|Acinetobacter phage vB_AbaM_ME3,no rank|superkingdom|clade|kingdom|phylum|class|genus|species|no rank,0,0,0,94,0,110,2704,0,230,4621,0
k141_83756,493,YP_009595861.1,YP_009595861.1 tail sheath [Acinetobacter phage vB_AbaM_ME3],41.7,163,2.64E-29,Viruses,Acinetobacter phage vB_AbaM_ME3,1837876,Acinetobacter phage vB_AbaM_ME3,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Metrivirus|Metrivirus ME3|Acinetobacter phage vB_AbaM_ME3,no rank|superkingdom|clade|kingdom|phylum|class|genus|species|no rank,0,0,0,0,0,0,0,30,0,0,90
k141_84094,38697,YP_009595861.1,YP_009595861.1 tail sheath [Acinetobacter phage vB_AbaM_ME3],40.1,685,1.40E-133,Viruses,Acinetobacter phage vB_AbaM_ME3,1837876,Acinetobacter phage vB_AbaM_ME3,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Metrivirus|Metrivirus ME3|Acinetobacter phage vB_AbaM_ME3,no rank|superkingdom|clade|kingdom|phylum|class|genus|species|no rank,38,2983,840,5468,0,5431,96693,0,3087,228577,8765
k141_188833,384,DAK97979.1,DAK97979.1 MAG TPA: hypothetical protein [Ackermannviridae sp.],65.6,125,5.08E-35,Viruses,Ackermannviridae sp.,2831612,Ackermannviridae sp.,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Ackermannviridae|unclassified Ackermannviridae|Ackermannviridae sp.,no rank|superkingdom|clade|kingdom|phylum|class|family|no rank|species,0,0,0,16,0,0,0,0,0,0,0
k141_196913,339,DAP06168.1,DAP06168.1 MAG TPA: Pyruvate-formate lyase-activating enzyme [Ackermannviridae sp.],61.3,106,6.39E-41,Viruses,Ackermannviridae sp.,2831612,Ackermannviridae sp.,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Ackermannviridae|unclassified Ackermannviridae|Ackermannviridae sp.,no rank|superkingdom|clade|kingdom|phylum|class|family|no rank|species,0,0,0,19,0,0,0,0,0,0,0
k141_199773,3155,DAN44979.1,DAN44979.1 MAG TPA: High frequency of lysogenization C protein [Ackermannviridae sp.],56.6,265,2.50E-88,Viruses,Ackermannviridae sp.,2831612,Ackermannviridae sp.,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Ackermannviridae|unclassified Ackermannviridae|Ackermannviridae sp.,no rank|superkingdom|clade|kingdom|phylum|class|family|no rank|species,0,0,0,0,11677,0,0,32,0,0,0
k141_23890,491,DAN44979.1,DAN44979.1 MAG TPA: High frequency of lysogenization C protein [Ackermannviridae sp.],68.4,136,1.12E-51,Viruses,Ackermannviridae sp.,2831612,Ackermannviridae sp.,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Ackermannviridae|unclassified Ackermannviridae|Ackermannviridae sp.,no rank|superkingdom|clade|kingdom|phylum|class|family|no rank|species,0,0,0,32,62,4,0,0,0,240,0
k141_476462,355,DAP17484.1,DAP17484.1 MAG TPA: Ogr/Delta-like zinc finger protein [Ackermannviridae sp.],56.1,57,4.22E-15,Viruses,Ackermannviridae sp.,2831612,Ackermannviridae sp.,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Ackermannviridae|unclassified Ackermannviridae|Ackermannviridae sp.,no rank|superkingdom|clade|kingdom|phylum|class|family|no rank|species,0,0,0,16,0,0,0,0,0,0,0
k141_71773,393,DAM68031.1,DAM68031.1 MAG TPA: hypothetical protein [Ackermannviridae sp.],71.4,133,3.81E-53,Viruses,Ackermannviridae sp.,2831612,Ackermannviridae sp.,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Ackermannviridae|unclassified Ackermannviridae|Ackermannviridae sp.,no rank|superkingdom|clade|kingdom|phylum|class|family|no rank|species,0,0,0,18,0,0,0,0,0,0,0
k141_566014,534,AFN69985.1,AFN69985.1 dCMP hydroxymethylase [Aeromonas phage Aes516],48.1,81,8.48E-15,Viruses,Aeromonas phage Aes516,1198024,Aeromonas phage Aes516,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Tulanevirus|unclassified Tulanevirus|Aeromonas phage Aes516,no rank|superkingdom|clade|kingdom|phylum|class|family|genus|no rank|species,0,0,0,4,0,0,14,28,0,0,0
k141_310889,420,YP_010093038.1,YP_010093038.1 virion structural protein [Aeromonas phage Ah1],51.5,136,6.37E-41,Viruses,Aeromonas phage Ah1,2053701,Aeromonas phage Ah1,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Cinqassovirus|Cinqassovirus ah1|Aeromonas phage Ah1,no rank|superkingdom|clade|kingdom|phylum|class|family|genus|species|no rank,0,402,0,5,0,0,0,0,0,0,0
k141_80818,317,YP_003969630.1,YP_003969630.1 baseplate wedge subunit [Aeromonas phage phiAS5],44.4,90,1.13E-14,Viruses,Aeromonas phage phiAS5,879630,Aeromonas phage phiAS5,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Chrysonvirus|Chrysonvirus as5|Aeromonas phage phiAS5,no rank|superkingdom|clade|kingdom|phylum|class|family|genus|species|no rank,0,0,0,0,0,0,0,8,0,0,0
k141_548163,330,AQM32759.1,AQM32759.1 replicase [Agaricus bisporus virus 16],43.4,106,6.66E-20,Viruses,Agaricus bisporus virus 16,1945746,Agaricus bisporus virus 16,root|Viruses|unclassified viruses|Agaricus bisporus virus 16,no rank|superkingdom|no rank|species,0,0,0,0,0,14,0,0,0,0,0
k141_92536,357,QQG34632.1,QQG34632.1 RdRp [Agave tequilana deltaflexivirus 1],59.8,117,2.27E-39,Viruses,Agave tequilana deltaflexivirus 1,2794415,Agave tequilana deltaflexivirus 1,root|Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Alsuviricetes|Tymovirales|Deltaflexiviridae|Deltaflexivirus|unclassified Deltaflexivirus|Agave tequilana deltaflexivirus 1,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,0,0,0,0,0,0,0,8,0,0,0
k141_289922,3640,AWK57374.1,AWK57374.1 P1 protein [Alfalfa mosaic virus],99.7,1126,0,Viruses,Alfalfa mosaic virus,12321,Alfalfa mosaic virus,root|Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Alsuviricetes|Martellivirales|Bromoviridae|Alfamovirus|Alfalfa mosaic virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species,36,0,0,45,0,0,0,1515,0,0,0
k141_328775,2016,AAD04694.1,AAD04694.1 movement protein [Alfalfa mosaic virus],98.3,300,1.15E-199,Viruses,Alfalfa mosaic virus,12321,Alfalfa mosaic virus,root|Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Alsuviricetes|Martellivirales|Bromoviridae|Alfamovirus|Alfalfa mosaic virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species,0,0,0,30,30,0,0,1865,0,606,0
k141_49449,2470,CBJ56556.1,CBJ56556.1 89.7 kDa protein [Alfalfa mosaic virus],99,790,0,Viruses,Alfalfa mosaic virus,12321,Alfalfa mosaic virus,root|Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Alsuviricetes|Martellivirales|Bromoviridae|Alfamovirus|Alfalfa mosaic virus,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species,0,0,0,2,0,0,0,993,0,0,0
k141_601172,403,BCH36621.1,BCH36621.1 hypothetical protein [Alphachrysovirus aspergilli],43.9,132,7.79E-28,Viruses,Alphachrysovirus aspergilli,607716,Alphachrysovirus aspergilli,root|Viruses|Riboviria|Orthornavirae|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Chrysoviridae|Alphachrysovirus|Alphachrysovirus aspergilli,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|species,24,0,0,0,0,0,0,14,0,0,0
k141_464582,701,ADF97523.1,ADF97523.1 RNA-dependent RNA polymerase [Alphanodavirus HB-2007/CHN],40.3,233,4.28E-43,Viruses,Alphanodavirus HB-2007/CHN,756850,Alphanodavirus HB-2007/CHN,root|Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Magsaviricetes|Nodamuvirales|Nodaviridae|Alphanodavirus|unclassified Alphanodavirus|Alphanodavirus HB-2007/CHN,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,2,0,0,6,0,68,0,0,0,0,0
k141_258947,362,QDB74997.1,QDB74997.1 MAG: RNA-dependent RNA polymerase [Alternaria tenuissima narnavirus 1],61.5,117,2.91E-37,Viruses,Alternaria tenuissima narnavirus 1,2587531,Alternaria tenuissima narnavirus 1,root|Viruses|Riboviria|Orthornavirae|Lenarviricota|Amabiliviricetes|Wolframvirales|Narnaviridae|Narnavirus|unclassified Narnavirus|Alternaria tenuissima narnavirus 1,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,16,0,0,0,0,0,0,0,0,0,0
k141_15224,368,ULF99826.1,ULF99826.1 MAG: hypothetical protein 2 [Aparavirus sp.],36,114,9.42E-11,Viruses,Aparavirus sp.,1955142,Aparavirus sp.,root|Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Dicistroviridae|Aparavirus|unclassified Aparavirus|Aparavirus sp.,no rank|superkingdom|clade|kingdom|phylum|class|order|family|genus|no rank|species,32,0,0,18,0,4,0,6,0,0,0
k141_1964,422,QDH86925.1,"QDH86925.1 MAG: RNA-dependent RNA polymerase, partial [Arenavirus sp.]",42,143,7.31E-16,Viruses,Arenavirus sp.,41118,Arenavirus sp.,root|Viruses|Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Ellioviricetes|Bunyavirales|Arenaviridae|unclassified Arenaviridae|Arenavirus|unclassified Arenavirus|Arenavirus sp.,no rank|superkingdom|clade|kingdom|phylum|subphylum|class|order|family|no rank|genus|no rank|species,66,0,0,0,0,0,0,0,0,0,0
k141_156528,451,BDB16246.1,BDB16246.1 RNA-dependent RNA polymerase [Aspergillus creber narnavirus 1],74.5,149,8.70E-65,Viruses,Aspergillus creber narnavirus 1,2875494,Aspergillus creber narnavirus 1,root|Viruses|Riboviria|Orthornavirae|Lenarviricota|Amabiliviricetes|Wolframvirales|Narnaviridae|unclassified Narnaviridae|Aspergillus creber narnavirus 1,no rank|superkingdom|clade|kingdom|phylum|class|order|family|no rank|species,0,0,0,0,2,0,0,0,0,158,128
k141_464940,381,BCH36640.1,BCH36640.1 RNA-dependent RNA polymerase [Aspergillus fumigatus botourmiavirus 1],58.8,102,4.95E-27,Viruses,Aspergillus fumigatus botourmiavirus 1,2747486,Aspergillus fumigatus botourmiavirus 1,root|Viruses|Riboviria|Orthornavirae|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|unclassified Botourmiaviridae|Aspergillus fumigatus botourmiavirus 1,no rank|superkingdom|clade|kingdom|phylum|class|order|family|no rank|species,44,0,254,0,66,0,0,26,0,264,0
k141_111728,320,BCH36652.1,BCH36652.1 RNA-dependent RNA polymerase [Aspergillus pseudoviridinutans botourmiavirus 1],54.9,82,1.10E-16,Viruses,Aspergillus pseudoviridinutans botourmiavirus 1,2747492,Aspergillus pseudoviridinutans botourmiavirus 1,root|Viruses|Riboviria|Orthornavirae|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|unclassified Botourmiaviridae|Aspergillus pseudoviridinutans botourmiavirus 1,no rank|superkingdom|clade|kingdom|phylum|class|order|family|no rank|species,0,0,0,0,0,0,0,27,0,0,0
k141_5904,340,YP_010679510.1,YP_010679510.1 phosphoheptose isomerase [Bacillus phage Kirov],40.4,114,3.75E-11,Viruses,Bacillus phage Kirov,2783539,Bacillus phage Kirov,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Andregratiavirinae|Kirovvirus|Kirovvirus kirov|Bacillus phage Kirov,no rank|superkingdom|clade|kingdom|phylum|class|subfamily|genus|species|no rank,17,0,0,0,0,0,0,12,0,0,0
k141_118274,679,ALN97707.1,ALN97707.1 hypothetical protein Bp8pS_028 [Bacillus phage vB_BpuM-BpSp],26.7,191,1.16E-13,Viruses,Bacillus phage vB_BpuM-BpSp,1739968,Bacillus phage vB_BpuM-BpSp,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Takahashivirus|unclassified Takahashivirus|Bacillus phage vB_BpuM-BpSp,no rank|superkingdom|clade|kingdom|phylum|class|genus|no rank|species,0,0,0,0,270,12,0,0,0,0,0
k141_370812,325,ALN97834.1,ALN97834.1 DNA-directed RNA polymerase beta subunit [Bacillus phage vB_BpuM-BpSp],52,100,2.35E-24,Viruses,Bacillus phage vB_BpuM-BpSp,1739968,Bacillus phage vB_BpuM-BpSp,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Takahashivirus|unclassified Takahashivirus|Bacillus phage vB_BpuM-BpSp,no rank|superkingdom|clade|kingdom|phylum|class|genus|no rank|species,0,0,0,0,96,0,0,0,0,0,0
k141_100354,310,DAN84630.1,DAN84630.1 MAG TPA: hypothetical protein [Bacteriophage sp.],79.4,102,1.83E-48,Viruses,Bacteriophage sp.,38018,Bacteriophage sp.,root|Viruses|unclassified bacterial viruses|Bacteriophage sp.,no rank|superkingdom|no rank|species,18,0,0,2,0,4,0,0,0,0,0
k141_101459,1438,BDH16446.1,BDH16446.1 MAG: hypothetical protein [Bacteriophage sp.],43.4,477,1.16E-119,Viruses,Bacteriophage sp.,38018,Bacteriophage sp.,root|Viruses|unclassified bacterial viruses|Bacteriophage sp.,no rank|superkingdom|no rank|species,0,0,356,0,0,0,190,24,0,2309,0
k141_104513,1244,DAU00286.1,DAU00286.1 MAG TPA: NinG recombination protein [Bacteriophage sp.],79.6,318,3.25E-179,Viruses,Bacteriophage sp.,38018,Bacteriophage sp.,root|Viruses|unclassified bacterial viruses|Bacteriophage sp.,no rank|superkingdom|no rank|species,0,0,0,257,0,14,0,0,0,0,0
k141_104582,536,DAO04463.1,DAO04463.1 MAG TPA: hypothetical protein [Bacteriophage sp.],84.9,119,7.85E-67,Viruses,Bacteriophage sp.,38018,Bacteriophage sp.,root|Viruses|unclassified bacterial viruses|Bacteriophage sp.,no rank|superkingdom|no rank|species,0,0,0,0,0,71,0,0,0,0,0
